Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G8.3,1,"Alpha Standardized Science G8.3 Created By STC 11 In the diagram above, one cell quickly sends a message to the next cell. This diagram represents part of the",Diagram/image referenced in question,MC,"A) endocrine system, B) muscular system, C) skeletal system, D) nervous system Which of the following is NOT directly a limiting factor of the frog population in a freshwater lake ecosystem?",,8,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,2,Systems thinking implicitly involved but not consciously used for sense-making.,2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,2,Which of the following is NOT directly a limiting factor of the frog population in a freshwater lake ecosystem?,None,MC,"A) increase in pesticide use that harms frogs, B) the amount of insects available to eat, C) competition for oxygen to breathe, D) space available for egg-laying spots The drawing represents a chromosome.",,8,,1,No phenomenon or scenario. Pure recall/definition question.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,CCC implicitly present but not engaged for reasoning.,1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,3,"The drawing represents a chromosome. The area labeled ""bands"" shows the location of",Diagram/image referenced in question,MC,"A) egg cells, B) sperm cells, C) reproductive hormones, D) specific genes Which of the following is an example of sexual reproduction?",,8,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,4,Which of the following is an example of sexual reproduction?,None,MC,"A) person with Huntington's disease has the genotype Hh. This person is ________________ for this trait., B) bacteria undergoing binary fission, C) budding of a hydra, D) fragmentation in planarian worms",,8,,1,No phenomenon or scenario. Pure recall/definition question.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,5,,None,MC,"A) homozygous dominant, B) homozygous recessive, C) heterozygous Base your answers to questions 6 and 7 on the diagram below. . What is the genetic makeup of the parents?",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,6,Base your answers to questions 6 and 7 on the diagram below. . What is the genetic makeup of the parents?,Diagram/image referenced in question,MC,"A) person whose genes are aa, B) AA and AA, C) Aa and Aa, D) aa and aa",,8,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,7,,None,MC,"A) must be dominant, B) has a straight hairline, C) has a peaked hairline, D) may have AA offspring Base your answers to questions 8 and 9 on the diagram below which shows a model of inheritance. . If these two parents were to produce offspring, what percentage would be tall plants?",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,8,"Base your answers to questions 8 and 9 on the diagram below which shows a model of inheritance. . If these two parents were to produce offspring, what percentage would be tall plants?",Diagram/image referenced in question,MC,"A) 0%, B) 25%, C) 50%, D) 100% If these two parents were to produce offspring, what percentage would be short plants?",,8,,3,Real-world scenario with visual component provides some context for reasoning.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G8.3,9,"If these two parents were to produce offspring, what percentage would be short plants?",None,MC,"A) population of birds eats the green moths that live in a pine forest. Every so often, the green moths have a brown offspring. The brown moths are usually seen more quickly by the birds and eaten sooner. The green moths survive in the forest because, B) 25%, C) 50%, D) 100% Questions 10-11 refer to the following statement: .",,8,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,10,The brown moths are usually seen more quickly by the birds and eaten sooner. The green moths survive in the forest because,None,MC,"A) Their coloring makes them better adapted than the brown moths., B) They fly faster than the brown moths., C) Both a and b, D) None of the above Imagine that increased pollution caused the pine trees in the forest to be heavily covered in brown particles. What is",,8,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,2,Cause and effect implicitly engaged but not explicitly required for reasoning.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,11,Imagine that increased pollution caused the pine trees in the forest to be heavily covered in brown particles. What is most likely to happen?,None,MC,"A) The green moths would survive, but would become covered in brown particles., B) The green moths would decide to have more brown offspring in order to survive., C) The green moths would be less likely to be eaten by the birds. Over time. the moth population would still have more green moths., D) The brown moths would be less likely to be eaten by the birds. Over time. the moth population would have more brown moths. How does natural selection lead to evolution",,8,,2,Real-world reference provides some context but limited uncertainty.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,2,Cause and effect implicitly engaged but not explicitly required for reasoning.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,Add a real-world phenomenon or puzzling scenario that students need to figure out.
Alpha Standardized Science G8.3,12,more brown moths. How does natural selection lead to evolution,None,MC,"A) Stronger offspring kill weaker members of the species., B) Helpful variations accumulate among surviving members of the species., C) Overproduction provides food for stronger members of the species., D) Environmental changes favor weaker members of the species. The drawings below show a turtle embryo and a chicken embryo. Which of the following statements is supported by",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,13,The drawings below show a turtle embryo and a chicken embryo. Which of the following statements is supported by the similarities between these embryos?,Diagram/image referenced in question,MC,"A) The turtle is more advanced than the chicken., B) The chicken has more offspring than the turtle., C) The turtle and the chicken are similar as adults., D) The chicken and the turtle share a common ancestor. In the scientific name Acer rubrum, the word rubrum designates the __________ name.",,8,,2,Visual provided but limited scenario context. Somewhat guided.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Pattern recognition implicitly involved but not explicitly required.,2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G8.3,14,"In the scientific name Acer rubrum, the word rubrum designates the __________ name.",None,MC,"A) order, B) family, C) genus, D) species Two organisms, Paramecium caudatum and Paramecium aurelia, were observed in a drop of pond water on a slide.",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,15,"Two organisms, Paramecium caudatum and Paramecium aurelia, were observed in a drop of pond water on a slide. These two organisms are members of",None,MC,"A) the same species but different genus, B) different genus and different species, C) the same genus but different species, D) the same genus and species In an ecosystem, which of the following could possibly increase the competition for resources for a given species?",,8,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,16,"In an ecosystem, which of the following could possibly increase the competition for resources for a given species?",None,MC,"A) Increase in the availability of their primary food source, B) Decrease in the population size of the given species, C) Introduction of more species with similar resource needs, D) Decrease in the number of their predators Which of the following would have the most kinetic energy?",,8,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,2,Systems thinking implicitly involved but not consciously used for sense-making.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,17,Which of the following would have the most kinetic energy?,None,MC,"A) A huge truck driving at 30 miles per hour, B) A very small car driving at 30 miles per hour, C) A motorcycle driving at 100 miles per hour, D) A huge truck driving at 100 miles per hour There was a patch of ice on a road. Two different cars slipped on the ice and hit a tree. Luckily, no one was hurt. Car A",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Energy/matter concepts implicitly present.,1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,18,"There was a patch of ice on a road. Two different cars slipped on the ice and hit a tree. Luckily, no one was hurt. Car A has a mass of 800 kg and was moving at 39 miles per hour. Car B has a mass of 1500 kg and was moving at 39 miles per hour. Which statement below best describes the energy of each car?",Diagram/image referenced in question,MC,"A) Car A had more energy than Car B when it hit because it was traveling faster than Car B., B) Car A had more energy than Car B when it hit because it has a smaller mass than Car B., C) Car B had more energy than Car A when it hit because it had a much bigger mass than Car A., D) Both cars had the same energy because they were traveling at the same speed. Which component of Earth’s atmosphere is classified as a greenhouse gas?",,8,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,19,Which component of Earth’s atmosphere is classified as a greenhouse gas?,None,MC,"A) oxygen, B) nitrogen, C) helium, D) carbon dioxide The greenhouse effect",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,2,Systems thinking implicitly involved but not consciously used for sense-making.,1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,20,The greenhouse effect,None,MC,"A) makes life on Earth because without it Earth would be too cold to live, B) needs to be completely eliminated if humans are to continue to survive on planet Earth, C) did not exist until humans began burning fossil fuels, D) makes life on Earth possible. because without it Earth would be too hot to live The graph below shows the change in carbon dioxide concentration in parts per million (ppm) in Earth's atmosphere",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Cause and effect implicitly engaged but not explicitly required for reasoning.,1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,21,The graph below shows the change in carbon dioxide concentration in parts per million (ppm) in Earth's atmosphere from 1960 to 1990. The most likely cause of the overall change in the level of carbon dioxide from 1960 to 1990 is an increase in,Diagram/image referenced in question,MC,"A) the number of violent storms, B) the number of volcanic eruptions, C) the use of nuclear power, D) the use of fossil fuels The diagram below shows four layers of sedimentary rock containing fossils. Which statement is true about the fossils",,8,,2,Visual provided but limited scenario context. Somewhat guided.,3,Requires prediction based on understanding — applies practice in context.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G8.3,22,The diagram below shows four layers of sedimentary rock containing fossils. Which statement is true about the fossils in the rock layers?,Diagram/image referenced in question,MC,"A) Fossil 1 is older than Fossil 4., B) Fossil 1 is younger than Fossil 2., C) Fossil 3 is younger than Fossil 5., D) Fossil 3 is the same age as Fossil 5. An approaching storm is moving at 15 km/hr. What else do you need to know its velocity?",,8,,1,No phenomenon or scenario. Pure recall/definition question.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,23,An approaching storm is moving at 15 km/hr. What else do you need to know its velocity?,None,MC,"A) temperature, B) direction, C) acceleration, D) speed Cathy is in an airplane that takes off from Boston for the 980 km trip to Detroit. The plane lands two hours later. Which",,8,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,24,Cathy is in an airplane that takes off from Boston for the 980 km trip to Detroit. The plane lands two hours later. Which of the following best describes the velocity of the airplane's flight?,None,MC,"A) 325 km/h W, B) 490 km/h W, C) 980 km/h W, D) 1960 km/h W There is an accident ahead, so all of the vehicles on the highway brake at the same time. Which one will come to a",,8,,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G8.3,25,"There is an accident ahead, so all of the vehicles on the highway brake at the same time. Which one will come to a complete stop first?",None,MC,"A) a fully-loaded truck, B) an empty truck, C) a midsized van, D) a small car Consider the following data collected from different scenarios. All magnets used have the same strength.",,8,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,26,Consider the following data collected from different scenarios. All magnets used have the same strength. Number of paper clips picked up Magnet Trial 1 Trial 2 Trial 3,None,MC,"A) Magnet A, B) Magnet B, C) Magnet C, D) Cannot be determined Read the text about an object in motion.",,8,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,2,Pattern recognition implicitly involved but not explicitly required.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,27,Read the text about an object in motion.,None,MC,"A) increased, B) decreased, C) stayed the same Read the text about an animal in motion.",,8,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,28,Read the text about an animal in motion.,None,MC,"A) when the cat was on the ground, preparing to sprint across the yard, B) when the cat was sprinting across the yard, C) when the cat sat on the highest branch of the tree, D) cannot be determined The drawings below show some trilobite and crinoid fossils.",,8,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G8.3,29,The drawings below show some trilobite and crinoid fossils. Which of the following is the most reasonable conclusion when fossils of these two different types of organisms are found in the same layers of rock?,Diagram/image referenced in question,MC,"A) Crinoids were prey for trilobites, B) Crinoids were ancestors of trilobites, C) Crinoids and trilobites had similar behaviors, D) Crinoids and trilobites lived at the same time Based on the map, which statements are true?",,8,,3,Real-world scenario with visual component provides some context for reasoning.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,CCC implicitly present but not engaged for reasoning.,1.5,Scripted,Does Not Meet,Meets,Does Not Meet,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G8.3,30,"Based on the map, which statements are true? Source: Federal Emergency Management Agency",Diagram/image referenced in question,MC,"A) Between 1994 and 2013, Custer County had more large wildfires than Union County., B) Between 1994 and 2013, Pierce County had fewer large wildfires than Okanogan County., C) Between 1994 and 2013, Curry County and Pierce County had the exact same number of large wildfires., D) Between 1994 and 2013, Shoshone County had more large wildfires than Custer County. Imagine a small island named Azure Island that is facing the following problem:",,8,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,3,"Requires applying science understanding in context, beyond simple recall.",1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
