Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G7.2,2,"change as the marbles move through the track. Figure 1 shows the two types of marbles and the different materials the students will use in the investigation. The two types of marbles are identical in size, but are made of different materials and have different masses. The students run several trials using each marble. The students begin each trail by placing a marble at the starting position and then observing the marble until it reaches the end position on the track. The marble track is shown in Figure 2. The students measure how each marble's potential and kinetic energies change at five different points as each marble moves along the track. Part A Based on Figure 2, at which points along the marble track is the potential energy of the marble increasing? Select the two correct answers.",Diagram/image referenced in question,MC,"A) point 1, B) point 2, C) point 3, D) point 4 E point 5 Part B",,7,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,3,"Requires applying science understanding in context, beyond simple recall.",3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.2,3,E point 5 Part B The students determine that the total energy of the marble decreases slightly as the marble travels along the track. Which statement describes the most likely cause of this decrease in total energy?,None,MC,"A) Some of the marble's energy is destroyed by the wooden blocks as the marble rolls along the track., B) Some of the marble's energy is transferred to the surface of the track as the marble rolls along the track., C) Some of the marble's energy is transferred to the wooden blocks as the marble rolls along the track., D) Some of the marble's energy is destroyed by the surface of the track as the marble rolls along the track. Use the information about changes in Earth's magnetic field and your knowledge of science to answer the questions. Changes in Earth's Magnetic Field Earth has a magnetic field that extends from the North and South Poles of the planet and out into space. Many scientists suggest that Earth's magnetic field size, strength, and direction are related to the liquid iron outer core. Figure 1 shows a model of Earth's core. Scientists discovered that the locations of Earth's North and South Poles can switch every so often. About every few hundred thousand years, Earth's magnetic poles reverse. This is a result of Earth's magnetic field changing direction, as shown by the dotted magnetic field lines in Figure 2. Evidence of the reversal of Earth's magnetic field is found in the rocks along the ocean floor. The ocean floor moves away slowly from the ridge on either side. As lava from the ridge erupts, tiny fragments in the lava align with the direction of Earth's magnetic field before the lava cools to become solid rock. Some of these fragments have a normal magnetic direction, while other fragments have a reverse magnetic direction. Figure 3 shows the location of rocks with a normal magnetic direction or a reverse magnetic direction. Use Figure 1 and Figure 2 to answer the question.",,7,,2,Some context provided but limited scenario complexity.,2,Some prediction required but in straightforward context.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.2,4,"Use the information about changes in Earth's magnetic field and your knowledge of science to answer the questions. Changes in Earth's Magnetic Field Earth has a magnetic field that extends from the North and South Poles of the planet and out into space. Many scientists suggest that Earth's magnetic field size, strength, and direction are related to the liquid iron outer core. Figure 1 shows a model of Earth's core. Scientists discovered that the locations of Earth's North and South Poles can switch every so often. About every few hundred thousand years, Earth's magnetic poles reverse. This is a result of Earth's magnetic field changing direction, as shown by the dotted magnetic field lines in Figure 2. Evidence of the reversal of Earth's magnetic field is found in the rocks along the ocean floor. The ocean floor moves away slowly from the ridge on either side. As lava from the ridge erupts, tiny fragments in the lava align with the direction of Earth's magnetic field before the lava cools to become solid rock. Some of these fragments have a normal magnetic direction, while other fragments have a reverse magnetic direction. Figure 3 shows the location of rocks with a normal magnetic direction or a reverse magnetic direction. Use Figure 1 and Figure 2 to answer the question. Scientists suggest that the movement of Earth's liquid iron core results in electrical currents. These currents would then result in Earth's magnetic field. Recent satellite data suggest that the strength of Earth's magnetic field has weakened by about 3.5 percent in some areas. In other areas, Earth's magnetic field strength has increased by about 2 percent. Which statement best explains the differences in Earth's magnetic field strength based on the movement of Earth's liquid iron core?",Diagram/image referenced in question,MC,"A) The movement of Earth's liquid iron core stopped in both locations., B) The movement of Earth's liquid iron core changes direction in some locations., C) The movement of Earth's liquid iron core is the same in all locations., D) The movement of Earth's liquid iron core increased in speed in both locations. 5 Use the information and your knowledge of science to answer the question. Engineers have recently designed skateboards that use magnets to float along a track, as shown in the figure. Select the correct answer from each drop-down menu to complete the paragraph about the design of these skateboards. The engineers observed that the skateboard floats above the track because the magnets on the skateboard a the magnets on the track. When a rider steps onto the skateboard, the force between the skateboard and the track b . If the magnets are removed from the skateboard, the height of the skateboard should c . a b c attract increases increase repel decreases decrease make contact with stay the same stay the same Two identical blocks are heated to different temperatures. The blocks are placed so that they touch, and heat begins",,7,,4,Rich scenario with data and observable phenomenon requiring genuine sense-making.,4,Requires analyzing data and constructing/evaluating evidence-based claims.,3,Requires connecting science ideas with data in meaningful application.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.5,Doing Science,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G7.2,6,"5 Use the information and your knowledge of science to answer the question. Engineers have recently designed skateboards that use magnets to float along a track, as shown in the figure. Select the correct answer from each drop-down menu to complete the paragraph about the design of these skateboards. The engineers observed that the skateboard floats above the track because the magnets on the skateboard a the magnets on the track. When a rider steps onto the skateboard, the force between the skateboard and the track b . If the magnets are removed from the skateboard, the height of the skateboard should c . a b c attract increases increase repel decreases decrease make contact with stay the same stay the same Two identical blocks are heated to different temperatures. The blocks are placed so that they touch, and heat begins to flow between the blocks. The pair of blocks is insulated, so no energy escapes. Block 1 has an initial temperature of 152°C, and Block 2 has an initial temperature of 243°C. Which statement correctly describes the heat flow that will occur?",Diagram/image referenced in question,MC,"A) Heat will flow from Block 1 to Block 2 until they both reach a temperature of 0°C., B) Heat will flow from Block 2 to Block 1 until they both reach 100°C., C) There will be no heat flow between the two blocks., D) Heat will flow from Block 2 to Block 1 until they both reach the same temperature. Which characteristic of living things does this picture best represent?",,7,,4,Rich scenario with data and observable phenomenon requiring genuine sense-making.,4,Engages investigation practices with data analysis.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.25,High Guided Integration,Partially Meets,Meets,Meets,Meets,Needs Improvement,"Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G7.2,7,Which characteristic of living things does this picture best represent?,Diagram/image referenced in question,MC,"A) A use of energy because frog cells need energy to grow, B) Reproduction because frogs lay egg cells to make more frogs, C) Growth and development because frog cells divide and specialize, D) Organization because frog cells have a plasma membrane and nucleus Choose the word below that makes this sentence correct.",,7,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Some content engagement in answer choices but limited reasoning with DCI.,2,Structure-function relationship implicitly present.,2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.2,8,Choose the word below that makes this sentence correct. The fundamental unit of all living things is the _________________.,Diagram/image referenced in question,MC,"A) atom, B) cell, C) compound, D) molecule Living things can be...",,7,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.2,9,Living things can be...,None,MC,"A) unicellular, B) multicellular, C) both unicellular and multicellular, D) none of these 10 The image shows two slides A and B that were shown to a student. Complete the table made by the student to describe the cellular composition of the slides. Living Multicellular Unicellular Slide A Slide B Answer the following questions after reading this passage. Matter and Energy The kinetic energy of a substance changes as thermal energy changes. A student performs an activity to study how thermal energy is transferred. She fills four beakers with 200 mL water maintained at 40°C. She adds a different number of ice cubes to each beaker and records the final temperatures. Initial Temperature Final Temperature Beaker Number of ice cubes added (°C) (°C) 1 40.0 4 33.5 2 40.0 12 18.2 3 40.0 7 27.4 4 40.0 18 9.0 In which beaker did the water transfer the largest amount of energy to the ice?",,7,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.2,11,10 The image shows two slides A and B that were shown to a student. Complete the table made by the student to describe the cellular composition of the slides. Living Multicellular Unicellular Slide A Slide B Answer the following questions after reading this passage. Matter and Energy The kinetic energy of a substance changes as thermal energy changes. A student performs an activity to study how thermal energy is transferred. She fills four beakers with 200 mL water maintained at 40°C. She adds a different number of ice cubes to each beaker and records the final temperatures. Initial Temperature Final Temperature Beaker Number of ice cubes added (°C) (°C) 1 40.0 4 33.5 2 40.0 12 18.2 3 40.0 7 27.4 4 40.0 18 9.0 In which beaker did the water transfer the largest amount of energy to the ice?,Diagram/image referenced in question,MC,"A) beaker 1, B) beaker 2, C) beaker 3, D) beaker 4 Read the sentence below and then choose the answer that best fills in the blanks.",,7,,3,Presents data within a context. Some uncertainty but path is somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G7.2,12,Read the sentence below and then choose the answer that best fills in the blanks.,Diagram/image referenced in question,MC,"A) chloroplasts / photosynthesis, B) chloroplasts / diffusion, C) cell walls / photosynthesis, D) cell walls / diffusion 13 Multicellular organisms need ways for their different cells to share information and resources. The more complex the organism, the more complex systems the organism has. However, if a single cell is taken out of the multicellular organism, that cell is not an individual organism. It only functions as a cell when it is part of the multicellular organism. Yeast are unicellular organisms. They can perform all the characteristics of living things by themselves. However, when there are many yeast cells together, they can create bridges called hyphae that keep the cells together which allows them to protect each other and share resources. When the yeast create the hyphae bridges, do they become a multicellular organism? a , each yeast cell will be a b organism. If a yeast cell detaches from the group, it c still perform all the needed functions to survive. a b c No Multi-cellular can Yes unicellular can not 14 Classify the following chemical reactions as exothermic or endothermic. DRAG & DROP THE ANSWER two liquids react and their temperature increases two liquids react and their temperature decreases a puddle evaporating on a sunny day burning of birthday candles on a cake ice cubes melting in a cup TNT explodes exothermic endothermic Read the passage and answer the two following questions. The Skin as a Protector The skin is the human body’s largest organ. At 1.8 square meters for the average adult, skin covers about as much area as a large closet, and accounts for 12-15% of total body weight. The incredible variation in skin — oily, moist, or dry, exposed to light and cold, or dark and warm — even on an individual, creates unique habitats for the thousands of bacterial and fungal species (called commensal microbiota) that live on our skin. The skin immune system may control skin microbes, but our skin commensals can also educate our immune system. How our skin orchestrates this dialogue with microorganisms and physical insult is integral to its function, and to our health. The skin is an immunologic organ. There are an estimated 20 billion T cells in human skin — far greater than the number of T cells in the blood — suggesting that immune defense in the skin is a high priority. The interaction among skin microorganisms and the immune system is likely not adversarial most of the time. Interestingly, the incidence of inflammatory skin conditions like atopic dermatitis in children has about doubled in the last thirty years, in parallel with the decreased exposure to microorganisms in early life. If a child has decreased exposure to microorganisms in early life, it is more likely that they will:",,7,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.2,15,"13 Multicellular organisms need ways for their different cells to share information and resources. The more complex the organism, the more complex systems the organism has. However, if a single cell is taken out of the multicellular organism, that cell is not an individual organism. It only functions as a cell when it is part of the multicellular organism. Yeast are unicellular organisms. They can perform all the characteristics of living things by themselves. However, when there are many yeast cells together, they can create bridges called hyphae that keep the cells together which allows them to protect each other and share resources. When the yeast create the hyphae bridges, do they become a multicellular organism? a , each yeast cell will be a b organism. If a yeast cell detaches from the group, it c still perform all the needed functions to survive. a b c No Multi-cellular can Yes unicellular can not 14 Classify the following chemical reactions as exothermic or endothermic. DRAG & DROP THE ANSWER two liquids react and their temperature increases two liquids react and their temperature decreases a puddle evaporating on a sunny day burning of birthday candles on a cake ice cubes melting in a cup TNT explodes exothermic endothermic Read the passage and answer the two following questions. The Skin as a Protector The skin is the human body’s largest organ. At 1.8 square meters for the average adult, skin covers about as much area as a large closet, and accounts for 12-15% of total body weight. The incredible variation in skin — oily, moist, or dry, exposed to light and cold, or dark and warm — even on an individual, creates unique habitats for the thousands of bacterial and fungal species (called commensal microbiota) that live on our skin. The skin immune system may control skin microbes, but our skin commensals can also educate our immune system. How our skin orchestrates this dialogue with microorganisms and physical insult is integral to its function, and to our health. The skin is an immunologic organ. There are an estimated 20 billion T cells in human skin — far greater than the number of T cells in the blood — suggesting that immune defense in the skin is a high priority. The interaction among skin microorganisms and the immune system is likely not adversarial most of the time. Interestingly, the incidence of inflammatory skin conditions like atopic dermatitis in children has about doubled in the last thirty years, in parallel with the decreased exposure to microorganisms in early life. If a child has decreased exposure to microorganisms in early life, it is more likely that they will:",None,MC,"A) be immune to inflammatory skin, B) acquire atopic dermatitis, C) develop an immunity to microorganisms, D) become immune to atopic dermatitis What type of reaction is show in the drawing?",,7,,3,Real-world context with meaningful setup. Requires some application.,2,Some practice engagement but at surface level.,3,Requires understanding relationships between science concepts.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.75,High Guided Integration,Partially Meets,Meets,Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
