Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G6.3,1,"Alpha Standardized Science G6.3 Created By STC Account If the population of frogs decreased, then what would increase?",None,MC,"A) foxes, B) hawks, C) caterpillars Mark creates a model of a train engine and the forces acting on it.",,6,,2,Real-world reference provides some context but limited uncertainty.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Explicitly engage a crosscutting concept (cause/effect, patterns, systems, structure/function)."
Alpha Standardized Science G6.3,2,Mark creates a model of a train engine and the forces acting on it. Mark says that the force of the train engine must be 70N to have a net force of 35N. Is Mark correct or incorrect and why or why not?,Diagram/image referenced in question,MC,"A) Mark is correct because the net force plus the air friction would be equal to 55N., B) Mark is incorrect because the force of the train minus the air friction would be equal to 40N., C) Mark is correct because the force of the train minus the wind force would be equal to 35N., D) Mark is incorrect because the force of the train minus the wind force and air friction would be equal to 15N. Two students, X and Y, perform an activity where they place a toy car on a plane surface.",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,3,"Two students, X and Y, perform an activity where they place a toy car on a plane surface. They push the toy car with different amounts of force from either side as shown. In which situation would the toy car move towards student Y? A B C D Answer the following questions after reading this passage. Particle Motion",Diagram/image referenced in question,MC,"A) student reads that the kinetic energy of the molecules of a substance is the measure of the motion of the molecules. When a substance is heated, the molecules move faster and have high kinetic energy. The flow chart shows the molecular arrangement of water molecules at different temperatures. What can be concluded about the change in the kinetic energy of water?",,6,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Pattern recognition implicitly involved but not explicitly required.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,4,"When a substance is heated, the molecules move faster and have high kinetic energy. The flow chart shows the molecular arrangement of water molecules at different temperatures. What can be concluded about the change in the kinetic energy of water?",Diagram/image referenced in question,MC,"A) student fills a jar with some ice cubes. The jar is placed in the Sun. The student observes that first ice changes to, B) The kinetic energy of water molecules increases from 215°F (vapor) to 86°F (water)., C) The kinetic energy of water molecules decreases from 86°F (water) to 215°F (vapor)., D) The kinetic energy of water molecules decreases from 32°F (ice) to 215°F (vapor).",,6,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,5,"water, and then slowly the temperature of the water increases. How can the change in the physical state be related to the kinetic energy of the molecules?",None,MC,"A) The kinetic energy of ice increases because thermal heat is absorbed by ice., B) The kinetic energy of ice decreases because the temperature of ice is increased., C) The kinetic energy of ice becomes zero because the molecules of ice are now free to move., D) The kinetic energy of ice remains the same because kinetic energy depends on thermal energy not temperature. 6 If thermal energy is plotted on the horizontal axis, what could the vertical axis represent? Drag and drop your answer into the box. DRAG & DROP THE ANSWER weight volume density temperature Note: Use CTRL+D to drag the option via keyboard Kinetic energy of a substance changes when heat is added to or removed from the substance. When the molecules",,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,7,"temperature. 6 If thermal energy is plotted on the horizontal axis, what could the vertical axis represent? Drag and drop your answer into the box. DRAG & DROP THE ANSWER weight volume density temperature Note: Use CTRL+D to drag the option via keyboard Kinetic energy of a substance changes when heat is added to or removed from the substance. When the molecules gain heat, they move faster and have high kinetic energy. Nitrogen (N ) is a gas at room temperature but its physical",None,MC,,,6,,2,Some context provided but limited scenario complexity.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,2,"gain heat, they move faster and have high kinetic energy. Nitrogen (N ) is a gas at room temperature but its physical state can be altered at different temperatures. Which model is correct based on the information given?",Diagram/image referenced in question,MC,"A) C, B) D The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",3,"Requires applying science understanding in context, beyond simple recall.",3,Multiple CCCs implicitly engaged through the reasoning required.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,8,"The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Which sample has the higher gas pressure?",Diagram/image referenced in question,MC,"A) sample A, B) sample B, C) neither; the samples have the same gas pressure Suppose you were measuring a substance's particle motion and you recorded that it increased. What else must have",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,9,Suppose you were measuring a substance's particle motion and you recorded that it increased. What else must have increased?,None,MC,"A) thermal energy and temperature, B) the elevation of the substance, C) the composition of the substance, D) total energy and temperature Which of the liquids below has the most thermal energy?",,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.3,10,Which of the liquids below has the most thermal energy? The liquids are identical.,Diagram/image referenced in question,MC,"A) tropical coral reef is a type of ecosystem in the ocean. Tropical coral reefs are found in warm, shallow water near the, B) 175 milliliters of chocolate milk at a temperature of 46°F, C) 225 milliliters of chocolate milk at a temperature of 46°F, D) 200 milliliters of chocolate milk at a temperature of 46°F",,6,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Energy/matter concepts implicitly present.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
