Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G6.6,1,Alpha Standardized Science G6.6 Created By STC Account Which of the following best describes why we see different moon phases?,None,MC,"A) The moon revolves around the Earth once a month., B) The Earth revolves around the moon once a month., C) The moon emits its own light, which changes over time., D) The Earth revolves around the Sun once a year. If the Sun was the size of the basketball, which would be the closest to the size of the Earth?",,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Pattern recognition implicitly involved but not explicitly required.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,2,"If the Sun was the size of the basketball, which would be the closest to the size of the Earth?",None,MC,"A) A soccer ball, B) An apple, C) The eraser at the end of a pencil, D) A car The diagram represents a cross-section of four rock layers containing fossil remains. Which type of fossil is found in",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,3,The diagram represents a cross-section of four rock layers containing fossil remains. Which type of fossil is found in the most recently formed rock layer?,Diagram/image referenced in question,MC,"A) Armored fish, B) Early horses, C) Trilobites, D) Dinosaurs It is possible for metamorphic rock to be changed into:",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,4,It is possible for metamorphic rock to be changed into:,None,MC,"A) Sedimentary rock, B) Igneous rock, C) Both sedimentary and igneous, D) Neither sedimentary nor igneous The diagram below represents how rock is affected when water enters cracks in rock, freezes and becomes ice. What",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,CCC implicitly present but not engaged for reasoning.,1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,5,"The diagram below represents how rock is affected when water enters cracks in rock, freezes and becomes ice. What geological process is represented in the diagram?",Diagram/image referenced in question,MC,"A) Faulting, B) Metamorphism, C) Volcanism, D) Weathering Use this diagram to choose all correct options:",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,6,Use this diagram to choose all correct options: A B,Diagram/image referenced in question,MC,"C) The plates at boundary Y converge., D) D represents the Earth's crust. E Plate B has the oldest crust. Which of the following is the best explanation of how high tides are created on Earth?",,6,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,7,E Plate B has the oldest crust. Which of the following is the best explanation of how high tides are created on Earth?,None,MC,"A) Electromagnetic waves reverse the direction of ocean currents., B) The moon's gravity pulls on the water creating bulges on two sides on Earth., C) The sun's gravity pulls on the water creating bulges on two sides of the Earth., D) Earth's axis is spinning, causing water to move. Stephen rode his bike on a road for a 6-hour period. On average, he passed a 1km mark every 8 minutes during this",,6,,1,No phenomenon or scenario. Pure recall/definition question.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,8,"Stephen rode his bike on a road for a 6-hour period. On average, he passed a 1km mark every 8 minutes during this period. What was his average speed for this 6-hour period?",None,MC,"A) 0.125km/hr B, C) 2.08 km/hr, D) 7.5 km/hr Read the following statements.",,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,9,Read the following statements. Which one is NOT a great illustration of Newton's 3rd Law of Motion?,Diagram/image referenced in question,MC,"A) Firefighters hold hoses firmly because as the water shoots out, the hose is pushed back., B) A car speeding on the highway slows down when they see a police car., C) A cannon jumps back as it is fired by a soldier., D) When you sit in your chair, your body exerts a downward force on the chair and the chair exerts an upward force on your body. Hot water rises due to a difference in ___________ as compared to cold water.",,6,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.6,10,exerts an upward force on your body. Hot water rises due to a difference in ___________ as compared to cold water.,None,MC,"A) Volume, B) Density, C) Number of molecules, D) Equilibrium",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,2,Some practice engagement but at surface level.,2,Grade-appropriate content but routine application.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Partially Meets,Does Not Meet,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
