Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G6.11,1,"beverages. Under a microscope, the scientist observed that both types showed small, round structures that could reproduce by forming buds. When the scientist looked at a sample of human skin tissue under the same microscope, they saw many flat structures packed tightly together in layers. The scientist noticed that while a single yeast structure could grow and reproduce on its own when given nutrients, the individual structures from the skin sample could not survive independently. Which statement best explains the scientist's observations?",None,MC,"A) researcher studied how cells respond when essential materials are removed from their environment. She observed, B) The yeast structures are not cells because they are too simple, but the skin sample has cells because it comes from a complex organism, C) Both samples contain non-living structures because real cells can only be seen with more powerful microscopes than what the scientist used, D) The skin sample has no cells because the structures cannot live independently, while yeast structures are the only true cells because they can live alone",,6,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Structure-function relationship implicitly present.,2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.11,2,"a group of cells that showed these symptoms: The cells were unable to break down waste products Old or damaged cell parts were not being recycled Harmful substances started accumulating inside the cells The cells became swollen and unhealthy If these cells were animal cells, which organelle was MOST LIKELY NOT functioning due to the missing materials?",None,MC,"A) student conducting an experiment places two identical pieces of potato in different solutions. After 30 minutes, the, B) Lysosome, C) Nucleus, D) Ribosome",B,6,,3,Real-world context with meaningful setup. Requires some application.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G6.11,3,student observes the following changes: In Solution A: The potato piece is soft and limp The cells appear shrunken when viewed under a microscope Chloroplasts appear clustered in the center of cells In Solution B: The potato piece is firm and retains its shape The cell walls appear intact when viewed under a microscope Chloroplasts are evenly distributed throughout the cells The cell nuclei are clearly visible Which explanation BEST describes what happened at the cellular level?,None,MC,"A) student is learning about the respiratory system and makes these observations:, B) In Solution A, the nuclei stopped functioning, preventing the cells from maintaining their structure, while in Solution B, the nuclei continued sending instructions to maintain cell shape., C) In Solution B, the cell wall and membrane worked together to maintain cell structure and function, while in Solution A, damage to these structures caused the cells to lose their rigidity., D) In Solution A, the chloroplasts stopped producing sugar, causing the cells to lose energy and collapse, while in Solution B, the chloroplasts continued photosynthesis, providing energy to maintain cell structure.",C,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.11,4,Red blood cells carry oxygen throughout the body These cells move through blood vessels in the lungs The lungs expand and contract to help us breathe The lungs work with the heart to supply oxygen to body parts Which statement about body organization is BEST supported by these observations?,None,MC,"A) Body systems are made up of only one type of cell that performs the same function., B) The lungs work independently to supply oxygen, while blood vessels and cells have separate roles in breathing., C) Red blood cells transport oxygen on their own, and the lungs simply provide space for this transportation to occur., D) Blood cells move through vessels that are part of organs, and these organs work together as a system to supply oxygen to the body. During a science lab, students observe a rabbit's response to a sudden noise. When the rabbit's ears detect the sound,",D,6,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.11,5,"supply oxygen to the body. During a science lab, students observe a rabbit's response to a sudden noise. When the rabbit's ears detect the sound, it immediately twitches its leg muscles and jumps away. After several exposures to the same sound without danger, the rabbit gradually stops jumping in response. Which statement BEST explains the sensory and neural processes involved in this experience?",None,MC,"A) table of chemical equations is shown below., B) The brain receives the sound input and creates a memory first, then sends a signal to the leg muscles to make the movement, C) The auditory receptors send signals to the brain, which triggers immediate muscle adjustment, and the nervous system stores this experience to improve future responses, D) The leg muscles automatically adjust to the correct position without the brain processing the sound, and the memory forms independently later",C,6,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.11,6,Which is a reactant in one of the equations?,None,MC,A) NaNO,,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.11,3,,None,MC,B) CO,,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.11,2,,None,MC,C) PbO,,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.11,2,,None,MC,"D) NaBr Desert kangaroo rats live in social groups in hot, dry environments where resources are scarce. These rats have",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.11,7,"Desert kangaroo rats live in social groups in hot, dry environments where resources are scarce. These rats have developed several remarkable behaviors to increase their reproductive success. Males perform elaborate courtship displays by rapidly drumming their feet and creating vibration patterns to attract females. Females form strong social bonds with other females, sharing burrow systems and engaging in mutual grooming. When offspring are born, both parents participate in care - the mothers provide milk while fathers collect and bring seeds to the burrow. During resource competition, dominant males often control the best territories with more seed-producing plants.",Diagram/image referenced in question,MC,"A) The rats' foot-drumming courtship displays help males attract females from greater distances, B) Both parents participate in offspring care, with mothers providing milk and fathers collecting and bringing seeds to the burrow, C) Female rats form social bonds with other females and engage in mutual grooming behaviors, D) Kangaroo rat males form cooperative hunting groups to capture insects, which they bring back to feed developing offspring Carlos has two identical pet hamsters from the same litter that he received as babies. After six months, he noticed that",B,6,,3,Real-world context with visual information. Some reasoning required.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
