Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G6.10,1,"looked like a single ball moving around in the water. When they increased the magnification, they could see that this ball-shaped organism had a membrane surrounding it and contained some smaller structures inside. Later, they looked at a piece of lettuce leaf under the same microscope and saw many similar-looking units packed together. Which of the following statements best explains what the student observed?",None,MC,"A) scientist conducted an experiment where she treated different cells with substances that specifically stopped the, B) The pond organism is not a living thing because it is too small to see without a microscope, but the lettuce is living because it is visible to the naked eye, C) Neither the pond organism nor the lettuce leaf is made of cells because cells must be at least 1 millimeter in size to function, D) The pond organism is made of multiple cells that broke apart under the microscope, while the lettuce leaf has no cells",,6,,3,Real-world context with meaningful setup. Requires some application.,3,Requires constructing explanations or engaging in argumentation.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G6.10,2,"function of one organelle at a time. In one cell, she noticed that after blocking a particular organelle: The cell was unable to make new proteins, as if it had lost the instructions to do so The cell could not grow properly The cell couldn't make copies of itself The cell no longer passed on traits when it divided Which organelle's function was MOST LIKELY blocked by the scientist?",None,MC,"A) student is studying how cells maintain their internal environment. The student observes that when a plant cell is, B) Chromosomes, C) Vacuole, D) Cell membrane",B,6,,2,Some context provided but limited scenario complexity.,2,Some prediction required but in straightforward context.,2,Grade-appropriate content but routine application.,2,Structure-function relationship implicitly present.,2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.10,3,"placed in a sugary solution, it begins to shrink after some time. However, the same cell placed in pure water becomes swollen. Which cell structure is responsible for allowing the cell to respond differently in these two environments?",None,MC,"A) student is studying how different parts of the digestive system work together to break down food. The student, B) Cell membrane - because it selectively controls water movement in and out of the cell, C) Mitochondria - because it provides energy for the cell to change its shape, D) Vacuole - because it stores extra water to prevent cell shrinking",B,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.10,4,learns that: Stomach cells produce acid These cells form the stomach lining tissue The stomach is an organ that breaks down food The stomach works with other organs like the small intestine to digest food Which statement about body organization is best supported by this example?,None,MC,"A) student accidentally touches a hot cup of tea. Within a split second, they pull their hand away and remember to be, B) Individual cells work together in tissues to perform larger jobs, and different organs cooperate as systems to accomplish complex tasks like digestion., C) The stomach is the main organ responsible for digestion, and other organs play only minor supporting roles in breaking down food., D) Stomach cells can function on their own to digest food, but working in a tissue makes the process faster.",B,6,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.10,5,more careful with hot drinks in the future. Which statement best explains what happened in the student's body during this experience?,None,MC,"A) young athlete was practicing soccer when she suddenly stepped into a hole on the field. Consider the sequence of, B) The brain received the pain message and formed a memory, but the hand moved away only after the memory was completely stored, C) The skin receptors sent a message to the brain, causing immediate hand movement, and the brain stored this experience as a memory to prevent future burns, D) The skin receptors directly controlled the hand movement, while a separate pain signal went to the brain for memory storage",C,6,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.10,6,"events that followed: Her foot experienced sudden pressure She quickly pulled her leg back She remembered to be more careful about checking the field during future practice sessions Why did she pull her leg back so quickly, before she even had time to think about it? Select the most complete explanation.",None,MC,"A) Her foot muscles automatically contracted when they felt pressure, and her brain later created a memory of the incident., B) She consciously decided to move her foot away from danger after feeling the pressure, and then remembered the experience., C) Her brain received the pressure signals and stored them as memories, which helped her react more quickly the next time., D) Her sensory receptors in the foot detected the pressure and sent signals to her brain, which immediately triggered a protective response, while also storing the experience as a memory to prevent future injuries. Some species of penguin parents take turns caring for their egg during the harsh Antarctic winter. While one parent",D,6,,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.10,7,"triggered a protective response, while also storing the experience as a memory to prevent future injuries. Some species of penguin parents take turns caring for their egg during the harsh Antarctic winter. While one parent stays with the egg, keeping it warm by balancing it on their feet and covering it with a flap of skin, the other parent travels up to 50 miles to the ocean to find food. When the feeding parent returns, they take over egg-care duties while the other parent goes to feed. This alternating pattern continues until the chick hatches.",None,MC,"A) The parents take turns traveling 50 miles to the ocean, which shows they are strong swimmers and will produce healthy offspring, B) By sharing feeding and egg-care duties, both parents can maintain their own health while ensuring the egg stays warm enough to survive in the extreme cold, C) The parents can balance eggs on their feet, which demonstrates they have good physical skills that will be passed to their offspring, D) Because both parents participate in caring for the egg, they form a stronger bond that will help them raise more chicks in the future Maya is studying the height of sunflower plants in her garden. All the sunflowers were planted at the same time from",B,6,,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,2,Pattern recognition implicitly involved but not explicitly required.,2.0,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.10,8,more chicks in the future Maya is studying the height of sunflower plants in her garden. All the sunflowers were planted at the same time from seeds of the same packet. She noticed that the sunflowers near her house grew much taller than those planted along the fence. Which information would best help explain why these sunflowers grew to different heights?,None,MC,"A) Maya's neighbor also grew tall sunflowers near their house last year., B) The sunflowers near the house received more water from the automatic sprinkler system, while those near the fence received less water., C) All the sunflower seeds came from the same parent plant that was very tall., D) The sunflowers near the house and those near the fence had the same yellow petals. Two identical twin rabbits were separated at birth. One rabbit (Rabbit A) was raised on a farm with plenty of fresh",B,6,,3,Real-world context with meaningful setup. Requires some application.,3,Requires constructing explanations or engaging in argumentation.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G6.10,9,"Two identical twin rabbits were separated at birth. One rabbit (Rabbit A) was raised on a farm with plenty of fresh vegetables and open space to run. The other rabbit (Rabbit B) was raised as a house pet with limited space and regular pet food. By the age of one year, Rabbit A was notably larger and had a thicker coat compared to Rabbit B. Which statement best explains the difference in the rabbits' physical characteristics?",Diagram/image referenced in question,MC,"A) Only the genes of the rabbits determined their size and coat thickness, since they are identical twins, B) Since the rabbits had different diets and living spaces, their genes must have changed over time, C) The environmental differences in diet and exercise opportunities influenced how their identical genes were expressed, D) The rabbits must not have been identical twins since they developed different physical characteristics During asexual reproduction in a single-celled organism, a scientist observes that the offspring cell is growing faster",C,6,,3,Real-world scenario with visual component provides some context for reasoning.,4,Requires analyzing data and constructing/evaluating evidence-based claims.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.25,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G6.10,10,"During asexual reproduction in a single-celled organism, a scientist observes that the offspring cell is growing faster than typical cells of the same species. However, when examining the DNA of both parent and offspring cells, the genetic information is found to be exactly the same. Which explanation best accounts for these observations?",None,MC,"A) gardener planted some marigold flowers in her garden. She noticed that when she collected and planted seeds from, B) Environmental factors are affecting the offspring's growth rate, while the identical DNA ensures the same traits as the parent, C) The offspring cell underwent mutation during cell division, leading to faster growth, D) The parent cell transferred only growth-related genes to the offspring, keeping other genes for itself",B,6,,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
