Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G5.10,1,Alpha Standardized Science G5.10 Created By STC 11 Which statement best explains why the sun appears to move across the sky during the day?,None,MC,"A) student places objects in a bucket of water to determine if they will float., B) The Earth is revolving around the sun., C) The Earth is tilted at 23.5 degrees., D) The Earth is rotating on its axis.",,5,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.10,2,Which set of items is less dense than water?,None,MC,"A) food chain is shown., B) Toothpick, metal spoon, and plastic paper clip, C) Metal spoon, vegetable oil, and penny, D) Toothpick, cork, and vegetable oil",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,3,Which role do the grasses have in the food chain?,None,MC,"A) They decompose small organisms to produce energy., B) They prevent the food chain from containing too many carnivores., C) They capture the energy from the sun and are food for consumers., D) They break down dead organisms into simpler substances. Students study barracudas. They gather some observations of barracudas. A barracuda is shown.",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Systems thinking implicitly involved but not consciously used for sense-making.,1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,4,Students study barracudas. They gather some observations of barracudas. A barracuda is shown. Which observation describes barracudas interacting with the living elements of their ecosystem?,Diagram/image referenced in question,MC,"A) picture of a rock is shown., B) Barracudas live around hard structures such as oil rigs and jetties., C) Barracudas are predators of other fish., D) Barracudas tend to live in warm waters.",,5,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,3,Requires understanding relationships between science concepts.,2,Systems thinking implicitly involved but not consciously used for sense-making.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,5,Which process most likely caused the crack in the rock?,None,MC,"A) student is classifying objects. Answering which question will provide the best evidence that an object is a metal?, B) Wind blowing particles against the rock, C) Water moving and dropping the rock, D) Glaciers scraping over the surface of the rock",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,2,Some prediction required but in straightforward context.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Cause and effect implicitly engaged but not explicitly required for reasoning.,1.75,Low Guided Integration,Partially Meets,Does Not Meet,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,6,,None,MC,"A) What is its mass?, B) What is its physical state?, C) Does it conduct thermal energy?, D) How quickly does it dissolve in water? Two box turtles live in an area in a zoo’s reptile house. Zoo visitors made a list of observations of the turtles. The list is",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,7,Two box turtles live in an area in a zoo’s reptile house. Zoo visitors made a list of observations of the turtles. The list is shown. 1. Sliding into a small pond 2. Eating a strawberry 3. Digging a hole in the sandy soil 4. Climbing onto a flat rock 5. Holding an earthworm in its mouth 6. Walking across the area Which observations best describe how box turtles interact with living parts of their environment?,Diagram/image referenced in question,MC,"A) student pours 14 grams of sugar into a jar filled with 500 milliliters of water. The student thoroughly stirs the sugar, B) Observation 2 and observation 5, C) Observation 1 and observation 5, D) Observation 3 and observation 4",,5,,2,Visual provided but limited scenario context. Somewhat guided.,3,Requires constructing explanations or engaging in argumentation.,3,Requires understanding relationships between science concepts.,2,Systems thinking implicitly involved but not consciously used for sense-making.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,Add a real-world phenomenon or puzzling scenario that students need to figure out.
Alpha Standardized Science G5.10,8,and water to make a solution. Which change most likely occurs to the sugar when it is added to the water?,None,MC,"A) student lists resources that can be used to produce electricity. The list is shown., B) The sugar changes water into a new substance in the solution., C) The sugar floats on the surface of the water in the solution., D) The sugar completely dissolves in the solution.",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,2,Some prediction required but in straightforward context.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,CCC implicitly present but not engaged for reasoning.,1.5,Scripted,Partially Meets,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,9,• Wind • Coal • Natural gas • Water power • Petroleum Which of the resources are renewable resources?,None,MC,"A) food web of a grassland ecosystem is shown., B) Wind, coal, and natural gas, C) Coal, water power, and petroleum, D) Coal, natural gas, water power, and petroleum",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.10,10,Which organisms rely on the same food source?,None,MC,"A) Snakes and hawks, B) Rabbits and lizards, C) Mice and snakes, D) Grasshoppers and lizards Students conduct an investigation with breakfast cereal. The first four steps of the students’ investigation are in the",,5,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
