Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G5.16,1,Alpha Standardized Science G5.16 Created By STC 11 Plants are able to produce their own food through photosynthesis. Which of the following is necessary for plants to make food?,Diagram/image referenced in question,MC,"A) light energy, B) soil nutrients, C) warm temperatures, D) other plants Which of the following organisms is photosynthetic and makes its own food using sunlight?",,5,,3,Real-world scenario with visual component provides some context for reasoning.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Meets,Does Not Meet,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.16,2,Which of the following organisms is photosynthetic and makes its own food using sunlight?,Diagram/image referenced in question,MC,"A) student placed a healthy plant in a dark closet but continued to water it regularly for two weeks. The plant eventually, B) An avocado tree with green leaves containing chloroplasts, C) A snow leopard that hunts mountain goats for energy, D) A parasitic dodder plant that extracts nutrients from host plants",,5,,3,Real-world scenario with visual component provides some context for reasoning.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.16,3,died. The most likely reason the plant died is that it did not receive enough:,None,MC,"A) fertilizer, B) nutrients, C) light, D) water In a grassland ecosystem, plants capture energy from the sun through photosynthesis. When a grasshopper eats the",,5,,2,Real-world reference provides some context but limited uncertainty.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Explicitly engage a crosscutting concept (cause/effect, patterns, systems, structure/function)."
Alpha Standardized Science G5.16,4,"In a grassland ecosystem, plants capture energy from the sun through photosynthesis. When a grasshopper eats the plants, and then a mouse eats the grasshopper, matter is moving through the food chain. What would most accurately describe the flow of matter in this ecosystem?",Diagram/image referenced in question,MC,"A) student examines two soil ecosystems using a magnifying glass. One soil came from a beach and the other came, B) Matter moves only from herbivores to carnivores without involving producers, C) Matter is equally distributed among all organisms in the ecosystem, D) Matter moves from producers to consumers and eventually returns to the environment",,5,,3,Real-world scenario with visual component provides some context for reasoning.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G5.16,5,from a garden. The decomposers in these two ecosystems would most likely differ in how they _________________________,None,MC,"A) convert energy from the sun into food., B) break down organic matter and return nutrients to the soil., C) compete with primary consumers for resources., D) transfer energy directly to tertiary consumers. Based on the model showing star sizes, why does the Sun appear to be the brightest star in our sky despite being",,5,,2,Real-world reference provides some context but limited uncertainty.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,2,Systems thinking implicitly involved but not consciously used for sense-making.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,Add a real-world phenomenon or puzzling scenario that students need to figure out.
Alpha Standardized Science G5.16,6,"Based on the model showing star sizes, why does the Sun appear to be the brightest star in our sky despite being smaller than many other stars?",Diagram/image referenced in question,MC,"A) The Sun is much closer to Earth than any other star, making it appear brighter despite its smaller size., B) The Sun is the only star that produces its own light, while other stars reflect light., C) The Sun is made of brighter materials than other stars, causing it to emit more intense light., D) The Sun is positioned at the center of our galaxy, allowing more of its light to reach Earth. The students in Mrs. Martinez's class were learning about how the Sun affects shadows throughout the day. They",,5,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",3,"Requires applying science understanding in context, beyond simple recall.",2,Cause and effect implicitly engaged but not explicitly required for reasoning.,2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.16,7,"The students in Mrs. Martinez's class were learning about how the Sun affects shadows throughout the day. They measured the length of a flagpole's shadow at different times and recorded their observations in the table below. Time of Day Shadow Length (feet) Shadow Direction 8:00 a.m. 15 Westward 10:00 a.m. 8 Westward 12:00 p.m. 4 Northward 2:00 p.m. 9 Eastward 4:00 p.m. 16 Eastward Based on the data in the table, at which time of day would the shadow be the shortest?",Diagram/image referenced in question,MC,"A) 8:00 a.m., B) 10:00 a.m., C) 12:00 p.m., D) 4:00 p.m. The table lists the time for sunrise and sunset in a region on Earth for a particular day.",,5,,3,Presents data within a context. Some uncertainty but path is somewhat guided.,4,Engages investigation practices with data analysis.,3,"Requires applying science understanding in context, beyond simple recall.",2,Pattern recognition implicitly involved but not explicitly required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G5.16,8,The table lists the time for sunrise and sunset in a region on Earth for a particular day. Time Sunrise 7:00 a.m. Sunset 5:30 p.m. Which statement correctly explains why this location experiences 10 hours and 30 minutes of sunlight on this day?,Diagram/image referenced in question,MC,"A) This location receives sunlight because Earth completes one orbit around the Sun in 24 hours., B) This location experiences this amount of daylight because it is positioned at the equator where day and night are always equal., C) This location experiences this amount of daylight because Earth's axis points directly toward the Sun on this particular day., D) This location receives sunlight during this time period because Earth rotates on its axis, gradually exposing different parts of its surface to the Sun. Which Earth system does the Pacific Ocean primarily belong to?",,5,,2,Visual provided but limited scenario context. Somewhat guided.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.16,9,different parts of its surface to the Sun. Which Earth system does the Pacific Ocean primarily belong to?,None,MC,"A) the atmosphere, B) the geosphere, C) the hydrosphere, D) the biosphere Students went on a class field trip to Natural Bridge Caverns. They observed water droplets traveling from the cave",,5,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.16,10,Students went on a class field trip to Natural Bridge Caverns. They observed water droplets traveling from the cave ceiling and forming stalactites over time. Which water cycle process best explains how rainwater initially moves from the surface through soil and rock layers before reaching the cave?,None,MC,"A) Evaporation, B) Condensation, C) Infiltration, D) Surface runoff Which process in the rock cycle transforms sedimentary rock directly into metamorphic rock?",,5,,3,Real-world context with meaningful setup. Requires some application.,3,Requires constructing explanations or engaging in argumentation.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G5.16,11,Which process in the rock cycle transforms sedimentary rock directly into metamorphic rock?,None,MC,"A) Heat and pressure, B) Weathering and erosion, C) Melting, D) Sedimentation The water cycle describes the movement of water on Earth. About 97% of water on Earth is the salt water found in",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,3,Multiple CCCs implicitly engaged through the reasoning required.,1.75,Low Guided Integration,Does Not Meet,Does Not Meet,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
