Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G5.7,1,Alpha Standardized Science G5.7 Created By STC 11,None,MC,"A) air B, C) rocks, D) animals E soap F the sun If you have two identical glasses that each have five ice cubes in them and you let the ice cubes in one glass melt,",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.7,2,"E soap F the sun If you have two identical glasses that each have five ice cubes in them and you let the ice cubes in one glass melt, which of the following will be true?",None,MC,"A) The glass with the ice cubes in it will weigh more than the other glass., B) The glass with the ice cubes in it will weigh the same as the other glass., C) The glass that has the melted ice in it will weigh more than the other glass., D) The glass that has the melted ice in it will weigh twice as much as the other glass. Matter can be changes in many ways. Sometimes matter is changed and a new substance is created. This type of",,5,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.7,3,Matter can be changes in many ways. Sometimes matter is changed and a new substance is created. This type of change is referred to as a chemical change. Which of the following are examples of chemical changes? Choose 4 answers,None,MC,"A) dissolving salt, B) burning leaves, C) baking a cake, D) melting chocolate E fireworks shooting off F bubbles forming from mixing baking soda and vinegar Below is a table that includes stars that are visible from Earth. The table shows the size, the distance from Earth, the",,5,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.7,4,"E fireworks shooting off F bubbles forming from mixing baking soda and vinegar Below is a table that includes stars that are visible from Earth. The table shows the size, the distance from Earth, the average temperature, and the color of each star. Out of all the stars in the table, which statement explains why the sun appears the largest and brightest to us on Earth?",Diagram/image referenced in question,MC,"A) The sun is yellow, B) The sun is the smallest star, C) The sun is the closest star, D) The sun has a milder temperature",,5,,2,Visual provided but limited scenario context. Somewhat guided.,4,Engages investigation practices with data analysis.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.7,5,A B,None,MC,"A) diagram showing the transfer of energy between members of an ecosystem is provided., C) The position of the tree changes in relation to the Sun., D) The Sun rotates on its axis. E The Sun orbits around Earth.",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.7,6,The information in this diagram supports which of the following ideas? A,Diagram/image referenced in question,MC,"B) Every animal gets its energy from another kind of animal., C) All organisms will be eaten by another organism at some time., D) The original source of energy for all organisms is the sun. Which 3 are the most important requirements a plant needs in order to survive and grow?",,5,,2,Visual provided but limited scenario context. Somewhat guided.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.7,7,Which 3 are the most important requirements a plant needs in order to survive and grow?,None,MC,"A) air, B) fertilizer, C) salt, D) sun E water In an ecosystem, birds depend on insects to survive. If someone spreads pesticide to control the insect population,",,5,,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.7,8,"E water In an ecosystem, birds depend on insects to survive. If someone spreads pesticide to control the insect population, which of the following is most likely to happen?",None,MC,"A) The bird population will increase., B) The bird population will decrease., C) The bird population will decrease, then increase. D Which of these is true about decomposers? Choose 2 correct answers.",,5,,3,Real-world context with meaningful setup. Requires some application.,3,Requires prediction based on understanding — applies practice in context.,1,Direct recall of definition or fact. No reasoning with DCI.,1,CCC implicitly present but not engaged for reasoning.,2.0,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Push beyond recall — require students to reason with science ideas, not just identify them. Explicitly engage a crosscutting concept (cause/effect, patterns, systems, structure/function)."
Alpha Standardized Science G5.7,9,D Which of these is true about decomposers? Choose 2 correct answers.,None,MC,"A) Decomposers are bacteria and fungi that break down the matter of dead plants and animals., B) Decomposers are animals that eat plants or other animals., C) Decomposers are animals that eat plants only., D) Decomposers return some of the nutrients from dead plants and animals to the soil. E Decomposers are plants that make their own food using air, water, and energy from the sun. How would the woodpecker population in a forest area most likely be affected if a housing development is built in that",,5,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.7,10,"E Decomposers are plants that make their own food using air, water, and energy from the sun. How would the woodpecker population in a forest area most likely be affected if a housing development is built in that area?",None,MC,"A) They would produce more offspring, B) They would change the color of their feathers, C) They would experience a decrease in available food, D) They would experience a decrease in competition Passage 1 Passage 2 The students discuss what would happen in the fish tank if too much fish food is added.",,5,,3,Real-world context with meaningful setup. Requires some application.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,2,Energy/matter concepts implicitly present.,2.75,High Guided Integration,Meets,Meets,Meets,Meets,Needs Improvement,Good question. Consider adding more complexity through novel data or multi-step reasoning.
