Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G5.14,1,"Alpha Standardized Science G5.14 Created By STC 11 Where does the energy that animals use for body repair, growth, movement, and maintaining body warmth originally come from?",None,MC,"A) The soil, which provides all the energy needed for life., B) The food they eat, which ultimately gets its energy from the Sun., C) Water, which stores and transfers energy for animals to use., D) The air, which directly gives animals the energy they need. Which organism directly converts the Sun’s energy into food that can be used by other organisms in the food chain?",B,5,5-PS3-1; 5-LS2-1; K-LS1-1,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,2,Energy/matter concepts implicitly present.,2.0,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.14,2,Which organism directly converts the Sun’s energy into food that can be used by other organisms in the food chain?,None,MC,"A) scientist sets up an experiment where a plant is grown in a sealed container with only water and air provided. The, B) The hawk, C) The mushroom, D) The tree",D,5,5-PS3-1; 5-LS2-1,2,Real-world reference provides some context but limited uncertainty.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.14,3,plant continues to grow over time. What does this experiment best demonstrate?,None,MC,"A) The plant gets most of its materials for growth from the soil., B) The plant gets the materials it needs for growth mainly from air and water., C) The plant relies on nutrients from insects for its growth., D) The plant does not require any external materials to grow. In a forest ecosystem, matter moves through different organisms as part of a food chain. Consider the following",B,5,5-LS1-1; 5-PS1-1,1,No phenomenon or scenario. Pure recall/definition question.,1,No science practice engaged. Recall/identification only.,1,Direct recall of definition or fact. No reasoning with DCI.,1,CCC implicitly present but not engaged for reasoning.,1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G5.14,4,"In a forest ecosystem, matter moves through different organisms as part of a food chain. Consider the following sequence: 1. Oak tree produces acorns. 2. A squirrel eats the acorns. 3. A hawk eats the squirrel. 4. After the hawk dies, decomposers break down its body. Which statement best describes the movement of matter in this food chain?",None,MC,"A) The decomposers return nutrients to the environment, which helps the oak tree grow., B) The squirrel produces new matter by eating the acorns., C) The hawk stores matter permanently after eating the squirrel., D) The acorns disappear from the ecosystem after the squirrel eats them. In a freshwater lake ecosystem, matter flows through various organisms. Consider a food web where algae are",A,5,5-LS2-1; MS-LS2-3,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.14,5,"In a freshwater lake ecosystem, matter flows through various organisms. Consider a food web where algae are consumed by zooplankton, which are then eaten by small fish. These small fish are in turn preyed upon by larger predatory fish. Decomposers such as bacteria break down dead organisms, returning nutrients to the environment. Which of the following best explains how matter moves through this ecosystem?",None,MC,"A) Matter flows in one direction, from producers to consumers, and is lost after the top predator dies., B) Matter is only transferred through organisms that are actively consuming food, while dead organisms do not contribute to the ecosystem., C) Matter is destroyed when organisms use it for energy, preventing it from being recycled., D) Matter cycles continuously as it is transferred from one organism to another and eventually returned to the environment by decomposers. When you look at the night sky, you see many stars, but none appear as bright as the Sun. The Sun looks much",D,5,5-LS2-1,3,Real-world context with meaningful setup. Requires some application.,3,Requires constructing explanations or engaging in argumentation.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G5.14,6,"environment by decomposers. When you look at the night sky, you see many stars, but none appear as bright as the Sun. The Sun looks much brighter than any other star. However, astronomers know that many stars in space are much larger and more powerful than the Sun. Which of the following best explains why the Sun appears brighter than other stars in the sky?",None,MC,"A) The Sun is the largest and most powerful star in the universe., B) The Sun is the only star that produces light energy., C) The Sun is much closer to Earth than other stars, making it appear brighter., D) Other stars are not made of the same materials as the Sun, so they do not shine as brightly. One evening, Jake recorded the length of a flagpole’s shadow every two hours. He noticed that the shadow was",C,5,5-ESS1-1,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.14,7,"One evening, Jake recorded the length of a flagpole’s shadow every two hours. He noticed that the shadow was longest at 6:00 P.M. and shortest at 12:00 P.M. The data he collected is shown below: Time Shadow Length (meters) 6:00 A.M. 30 8:00 A.M. 18 10:00 A.M. 10 12:00 P.M. 5 2:00 P.M. 8 4:00 P.M. 15 6:00 P.M. 28 Based on the data, which of the following best explains why the shadow length changes throughout the day?",Diagram/image referenced in question,MC,"A) The position of the flagpole moves as the day progresses., B) The length of the flagpole changes depending on the time of day., C) The Sun’s position in the sky changes, affecting the shadow’s length., D) The temperature influences how long the shadow appears on the ground. As the Earth rotates on its axis, different parts of the world experience changes in daylight and shadows. A student",C,5,5-ESS1-2; 1-ESS1-1,4,Rich scenario with data and observable phenomenon requiring genuine sense-making.,4,Requires analyzing data and constructing/evaluating evidence-based claims.,3,"Requires applying science understanding in context, beyond simple recall.",1,CCC implicitly present but not engaged for reasoning.,3.0,High Guided Integration,Partially Meets,Meets,Meets,Meets,Needs Improvement,"Explicitly engage a crosscutting concept (cause/effect, patterns, systems, structure/function)."
Alpha Standardized Science G5.14,8,"As the Earth rotates on its axis, different parts of the world experience changes in daylight and shadows. A student observes the length of a shadow cast by a tree at different times of the day. In the morning, the shadow is long and points west. Around noon, the shadow is shortest. In the afternoon, the shadow becomes long again but points east. Which of the following best explains why the length and direction of the shadow change throughout the day?",None,MC,"A) farmer noticed that the soil in his field has become less fertile over the years. During heavy rains, he observed that, B) The position of the Sun in the sky changes due to Earth's rotation., C) Earth's orbit around the Sun causes shadows to shift direction each day., D) The length of the shadow remains the same, but the angle of the Sun makes it appear different.",B,5,5-ESS1-2; 1-ESS1-1,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G5.14,9,"the dark, rich topsoil gets washed away into a nearby stream. Which statement best explains how this situation shows the interaction between Earth's spheres?",None,MC,"A) The geosphere and hydrosphere interact as rainwater carries away soil particles, affecting both the land and water quality, B) The atmosphere and hydrosphere interact as rain falls from clouds into the stream, increasing the water level, C) The biosphere and atmosphere interact as plants release oxygen into the air through photosynthesis, D) The geosphere and atmosphere interact as wind erodes the soil particles, carrying them into the air During a study of mountain ecosystems, scientists observed that one side of a mountain range had dense forests and",A,5,5-ESS2-1; 4-ESS2-1,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,3,Requires understanding relationships between science concepts.,2,Systems thinking implicitly involved but not consciously used for sense-making.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,Add a real-world phenomenon or puzzling scenario that students need to figure out.
Alpha Standardized Science G5.14,10,"During a study of mountain ecosystems, scientists observed that one side of a mountain range had dense forests and frequent rainfall, while the other side had very few plants and received little rain. This pattern occurred even though both sides started with similar soil conditions. Which sequence of interactions between Earth's systems best explains this observation?",None,MC,"A) student was studying how rocks change near a coastal area. They observed that:, B) Strong winds blow all clouds to one side of the mountain, causing more erosion there, making it difficult for plants to grow, C) Warm air rises up the mountain, cools and forms clouds, causes precipitation on one side, leaving little moisture for the other side, affecting plant growth, D) Ocean currents bring warm water near one side of the mountain, increasing evaporation only on that side, leading to more plant growth",C,5,5-ESS2-1; 3-ESS2-2; 5-LS1-1,3,Real-world context with meaningful setup. Requires some application.,3,Requires constructing explanations or engaging in argumentation.,3,Requires understanding relationships between science concepts.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
